chain_index,chain_id,temperature_index,temperature,replicate_index,seed,initial_state,split_name,configuration_count,mean_consecutive_hamming_fraction,minimum_consecutive_hamming_fraction,consecutive_duplicate_rate,all_rows_duplicate_rate,signed_magnetisation_lag1,absolute_magnetisation_lag1
0,ising2d_t00_r00_seed25000,0,1.5,0,25000,up,train,50,0.015204081632653061,0.0025,0.0,0.040000000000000036,0.09481282114020069,0.09481282114020069
1,ising2d_t00_r01_seed25018,0,1.5,1,25018,down,train,50,0.014183673469387753,0.0,0.02040816326530612,0.09999999999999998,0.07608695652173915,0.07608695652173915
2,ising2d_t00_r02_seed25036,0,1.5,2,25036,up,validation,50,0.014540816326530613,0.0025,0.0,0.040000000000000036,-0.052791670641736434,-0.052791670641736434
3,ising2d_t00_r03_seed25054,0,1.5,3,25054,down,validation,50,0.012755102040816327,0.0025,0.0,0.020000000000000018,0.3047561950439648,0.3047561950439648
4,ising2d_t00_r04_seed25072,0,1.5,4,25072,up,test,50,0.013979591836734693,0.0,0.02040816326530612,0.09999999999999998,0.07198741502804878,0.07198741502804878
5,ising2d_t00_r05_seed25090,0,1.5,5,25090,down,test,50,0.015408163265306125,0.0025,0.0,0.040000000000000036,0.16782602235539257,0.16782602235539257
6,ising2d_t01_r00_seed25001,1,1.7,0,25001,up,train,50,0.028469387755102042,0.005,0.0,0.0,-0.10893241400542601,-0.10893241400542601
7,ising2d_t01_r01_seed25019,1,1.7,1,25019,down,train,50,0.027551020408163266,0.015,0.0,0.0,0.28602651901500803,0.28602651901500803
8,ising2d_t01_r02_seed25037,1,1.7,2,25037,up,validation,50,0.03260204081632653,0.0175,0.0,0.0,-0.2537671359185091,-0.2537671359185091
9,ising2d_t01_r03_seed25055,1,1.7,3,25055,down,validation,50,0.0314795918367347,0.015,0.0,0.0,-0.035136274780297815,-0.035136274780297815
10,ising2d_t01_r04_seed25073,1,1.7,4,25073,up,test,50,0.027448979591836734,0.0075,0.0,0.0,-0.01585403279320905,-0.01585403279320905
11,ising2d_t01_r05_seed25091,1,1.7,5,25091,down,test,50,0.026326530612244898,0.0075,0.0,0.020000000000000018,-0.30175792251124905,-0.30175792251124905
12,ising2d_t02_r00_seed25002,2,1.9,0,25002,up,train,50,0.06908163265306123,0.02,0.0,0.0,-0.02398935716916441,-0.02398935716916441
13,ising2d_t02_r01_seed25020,2,1.9,1,25020,down,train,50,0.061071428571428575,0.0325,0.0,0.0,-0.03261091245285391,-0.03261091245285391
14,ising2d_t02_r02_seed25038,2,1.9,2,25038,up,validation,50,0.05964285714285714,0.0375,0.0,0.0,-0.3318292146416501,-0.3318292146416501
15,ising2d_t02_r03_seed25056,2,1.9,3,25056,down,validation,50,0.07214285714285715,0.035,0.0,0.0,-0.014545504052080552,-0.014545504052080552
16,ising2d_t02_r04_seed25074,2,1.9,4,25074,up,test,50,0.05479591836734695,0.025,0.0,0.0,-0.0769123699218285,-0.0769123699218285
17,ising2d_t02_r05_seed25092,2,1.9,5,25092,down,test,50,0.053979591836734696,0.02,0.0,0.0,-0.013176082937947368,-0.013176082937947368
18,ising2d_t03_r00_seed25003,3,2.05,0,25003,up,train,50,0.14448979591836736,0.05,0.0,0.0,0.9841542339018199,0.8889944011985722
19,ising2d_t03_r01_seed25021,3,2.05,1,25021,down,train,50,0.10127551020408164,0.0425,0.0,0.0,0.15923186668187636,0.15923186668187636
20,ising2d_t03_r02_seed25039,3,2.05,2,25039,up,validation,50,0.10704081632653062,0.0425,0.0,0.0,-0.13812214494859215,-0.13812214494859215
21,ising2d_t03_r03_seed25057,3,2.05,3,25057,down,validation,50,0.10688775510204081,0.05,0.0,0.0,-0.28334117850448814,-0.28334117850448814
22,ising2d_t03_r04_seed25075,3,2.05,4,25075,up,test,50,0.10760204081632654,0.05,0.0,0.0,-0.1382450279536043,-0.1382450279536043
23,ising2d_t03_r05_seed25093,3,2.05,5,25093,down,test,50,0.10540816326530612,0.0475,0.0,0.0,0.04189373752552688,0.04189373752552688
24,ising2d_t04_r00_seed25004,4,2.1,0,25004,up,train,50,0.1308673469387755,0.0725,0.0,0.0,-0.07106384701901178,-0.07106384701901178
25,ising2d_t04_r01_seed25022,4,2.1,1,25022,down,train,50,0.12061224489795917,0.06,0.0,0.0,0.01865494751120279,0.01865494751120279
26,ising2d_t04_r02_seed25040,4,2.1,2,25040,up,validation,50,0.1308673469387755,0.0625,0.0,0.0,0.08012769631914014,0.08012769631914014
27,ising2d_t04_r03_seed25058,4,2.1,3,25058,down,validation,50,0.12663265306122448,0.0625,0.0,0.0,0.0648056181706688,0.0648056181706688
28,ising2d_t04_r04_seed25076,4,2.1,4,25076,up,test,50,0.11841836734693878,0.0525,0.0,0.0,-0.19926191306968466,-0.19926191306968466
29,ising2d_t04_r05_seed25094,4,2.1,5,25094,down,test,50,0.12581632653061223,0.0675,0.0,0.0,-0.09720136253104436,-0.09720136253104436
30,ising2d_t05_r00_seed25005,5,2.15,0,25005,up,train,50,0.13841836734693877,0.07,0.0,0.0,-0.07766049164892468,-0.07766049164892468
31,ising2d_t05_r01_seed25023,5,2.15,1,25023,down,train,50,0.16948979591836738,0.075,0.0,0.0,0.21967170085800475,0.21967170085800475
32,ising2d_t05_r02_seed25041,5,2.15,2,25041,up,validation,50,0.13551020408163267,0.0725,0.0,0.0,-0.0019666281495240357,-0.0019666281495240357
33,ising2d_t05_r03_seed25059,5,2.15,3,25059,down,validation,50,0.1576530612244898,0.09,0.0,0.0,0.16619100337595627,0.16619100337595627
34,ising2d_t05_r04_seed25077,5,2.15,4,25077,up,test,50,0.13622448979591836,0.075,0.0,0.0,-0.048873985678650436,-0.048873985678650436
35,ising2d_t05_r05_seed25095,5,2.15,5,25095,down,test,50,0.14122448979591837,0.07,0.0,0.0,-0.006683075912901994,-0.006683075912901994
36,ising2d_t06_r00_seed25006,6,2.2,0,25006,up,train,50,0.1635204081632653,0.08,0.0,0.0,0.14901994479693811,0.14901994479693811
37,ising2d_t06_r01_seed25024,6,2.2,1,25024,down,train,50,0.17336734693877554,0.0725,0.0,0.0,-0.045147765346360204,-0.045147765346360204
38,ising2d_t06_r02_seed25042,6,2.2,2,25042,up,validation,50,0.1997448979591837,0.0775,0.0,0.0,0.4176580021713117,0.4176580021713117
39,ising2d_t06_r03_seed25060,6,2.2,3,25060,down,validation,50,0.19790816326530616,0.0875,0.0,0.0,0.5540536017631147,0.5540536017631147
40,ising2d_t06_r04_seed25078,6,2.2,4,25078,up,test,50,0.18668367346938777,0.1,0.0,0.0,0.2224713896205003,0.2224713896205003
41,ising2d_t06_r05_seed25096,6,2.2,5,25096,down,test,50,0.16790816326530614,0.0675,0.0,0.0,0.18516051552626714,0.18516051552626714
42,ising2d_t07_r00_seed25007,7,2.23,0,25007,up,train,50,0.18051020408163265,0.09,0.0,0.0,0.14155108673041739,0.14155108673041739
43,ising2d_t07_r01_seed25025,7,2.23,1,25025,down,train,50,0.19505102040816324,0.085,0.0,0.0,0.17285370052787424,0.17285370052787424
44,ising2d_t07_r02_seed25043,7,2.23,2,25043,up,validation,50,0.2122448979591837,0.09,0.0,0.0,0.9402595860514719,0.5662845348150443
45,ising2d_t07_r03_seed25061,7,2.23,3,25061,down,validation,50,0.20285714285714285,0.1,0.0,0.0,0.9747064479328807,0.5043979604558321
46,ising2d_t07_r04_seed25079,7,2.23,4,25079,up,test,50,0.2058673469387755,0.1125,0.0,0.0,0.9647227140687219,0.527970979914334
47,ising2d_t07_r05_seed25097,7,2.23,5,25097,down,test,50,0.1935714285714286,0.085,0.0,0.0,0.2231761340104,0.2231761340104
48,ising2d_t08_r00_seed25008,8,2.25,0,25008,up,train,50,0.2319387755102041,0.0925,0.0,0.0,0.27591066939212666,0.27591066939212666
49,ising2d_t08_r01_seed25026,8,2.25,1,25026,down,train,50,0.2601530612244898,0.11,0.0,0.0,0.5755931341360988,0.5755931341360988
50,ising2d_t08_r02_seed25044,8,2.25,2,25044,up,validation,50,0.21454081632653063,0.1,0.0,0.0,0.006765569703145829,0.006765569703145829
51,ising2d_t08_r03_seed25062,8,2.25,3,25062,down,validation,50,0.22173469387755101,0.1425,0.0,0.0,0.37693358608689775,0.3725167587767982
52,ising2d_t08_r04_seed25080,8,2.25,4,25080,up,test,50,0.18790816326530613,0.0875,0.0,0.0,0.11071071750593635,0.11071071750593635
53,ising2d_t08_r05_seed25098,8,2.25,5,25098,down,test,50,0.23408163265306123,0.1,0.0,0.0,0.5219017523886216,0.5219017523886216
54,ising2d_t09_r00_seed25009,9,2.269185314213022,0,25009,up,train,50,0.28969387755102044,0.0775,0.0,0.0,0.5769574249981945,0.40908611124705085
55,ising2d_t09_r01_seed25027,9,2.269185314213022,1,25027,down,train,50,0.2505612244897959,0.115,0.0,0.0,0.9511007594942725,0.639581219940698
56,ising2d_t09_r02_seed25045,9,2.269185314213022,2,25045,up,validation,50,0.21999999999999997,0.1275,0.0,0.0,0.2229731243520166,0.2229731243520166
57,ising2d_t09_r03_seed25063,9,2.269185314213022,3,25063,down,validation,50,0.24739795918367344,0.0925,0.0,0.0,0.848237361962845,0.30752247299886964
58,ising2d_t09_r04_seed25081,9,2.269185314213022,4,25081,up,test,50,0.24331632653061228,0.1375,0.0,0.0,0.10769381014977888,0.10769381014977888
59,ising2d_t09_r05_seed25099,9,2.269185314213022,5,25099,down,test,50,0.2650510204081633,0.1025,0.0,0.0,0.9445759376030576,0.34512470452711713
60,ising2d_t10_r00_seed25010,10,2.29,0,25010,up,train,50,0.2976020408163266,0.1275,0.0,0.0,0.8794217631662776,0.6328843622217162
61,ising2d_t10_r01_seed25028,10,2.29,1,25028,down,train,50,0.26035714285714284,0.1375,0.0,0.0,0.9177204494232477,0.3845233186760021
62,ising2d_t10_r02_seed25046,10,2.29,2,25046,up,validation,50,0.30704081632653063,0.1425,0.0,0.0,0.9147047700274511,0.5387363028174746
63,ising2d_t10_r03_seed25064,10,2.29,3,25064,down,validation,50,0.2595408163265306,0.12,0.0,0.0,0.9223795258303321,0.46045106260437735
64,ising2d_t10_r04_seed25082,10,2.29,4,25082,up,test,50,0.24719387755102043,0.1075,0.0,0.0,0.5045800311677481,0.5048751012373701
65,ising2d_t10_r05_seed25100,10,2.29,5,25100,down,test,50,0.2716836734693877,0.1,0.0,0.0,0.7831991231430722,0.6691387920965165
66,ising2d_t11_r00_seed25011,11,2.32,0,25011,up,train,50,0.311530612244898,0.17,0.0,0.0,0.9205913073866333,0.5363402792113247
67,ising2d_t11_r01_seed25029,11,2.32,1,25029,down,train,50,0.30540816326530607,0.1475,0.0,0.0,0.7752090394758399,0.4236871739520127
68,ising2d_t11_r02_seed25047,11,2.32,2,25047,up,validation,50,0.28775510204081634,0.16,0.0,0.0,0.38167925105892,0.36342714839608287
69,ising2d_t11_r03_seed25065,11,2.32,3,25065,down,validation,50,0.2836224489795919,0.1525,0.0,0.0,0.4541093160453556,0.3526113015115875
70,ising2d_t11_r04_seed25083,11,2.32,4,25083,up,test,50,0.35806122448979594,0.1475,0.0,0.0,0.8128763357285845,0.6185622204863107
71,ising2d_t11_r05_seed25101,11,2.32,5,25101,down,test,50,0.2914795918367347,0.1425,0.0,0.0,0.9263626446155491,0.3166145766141455
72,ising2d_t12_r00_seed25012,12,2.35,0,25012,up,train,50,0.29622448979591837,0.1425,0.0,0.0,0.9519301470791421,0.5218326025616691
73,ising2d_t12_r01_seed25030,12,2.35,1,25030,down,train,50,0.3124489795918367,0.1425,0.0,0.0,0.5686981894913448,0.4307039264533857
74,ising2d_t12_r02_seed25048,12,2.35,2,25048,up,validation,50,0.3151530612244898,0.16,0.0,0.0,0.5887126320968362,0.5961072364300766
75,ising2d_t12_r03_seed25066,12,2.35,3,25066,down,validation,50,0.29025510204081634,0.17,0.0,0.0,0.38966595847716634,0.38382156066078166
76,ising2d_t12_r04_seed25084,12,2.35,4,25084,up,test,50,0.3241326530612245,0.1525,0.0,0.0,0.832709396676122,0.20218193234352966
77,ising2d_t12_r05_seed25102,12,2.35,5,25102,down,test,50,0.32086734693877556,0.1325,0.0,0.0,0.39898083981100535,0.19007385316794526
78,ising2d_t13_r00_seed25013,13,2.4,0,25013,up,train,50,0.34244897959183673,0.18,0.0,0.0,0.6926915465813375,0.33833537529897445
79,ising2d_t13_r01_seed25031,13,2.4,1,25031,down,train,50,0.3846428571428571,0.16,0.0,0.0,0.7745168357714675,0.43694118957011285
80,ising2d_t13_r02_seed25049,13,2.4,2,25049,up,validation,50,0.3597959183673469,0.195,0.0,0.0,0.7782929442512272,0.3563292204149326
81,ising2d_t13_r03_seed25067,13,2.4,3,25067,down,validation,50,0.3179081632653061,0.13,0.0,0.0,0.20907226898726186,0.20907226898726186
82,ising2d_t13_r04_seed25085,13,2.4,4,25085,up,test,50,0.34306122448979587,0.1775,0.0,0.0,0.8763981022156336,0.3064766124432169
