row_index,sample_id,temperature,temperature_index,replicate_index,chain_index,chain_id,seed,initial_state,production_sweep_number,sample_index_within_chain,split_name,energy_per_spin,signed_magnetisation,absolute_magnetisation,acceptance_fraction
0,d25_t00_r00_s000,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,40,0,train,-1.92,0.98,0.98,0.014250000000000004
1,d25_t00_r00_s001,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,80,1,train,-1.96,0.99,0.99,0.015750000000000004
2,d25_t00_r00_s002,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,120,2,train,-1.85,0.96,0.96,0.014500000000000002
3,d25_t00_r00_s003,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,160,3,train,-1.93,0.98,0.98,0.014500000000000004
4,d25_t00_r00_s004,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,200,4,train,-1.96,0.99,0.99,0.015000000000000003
5,d25_t00_r00_s005,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,240,5,train,-1.93,0.98,0.98,0.012500000000000006
6,d25_t00_r00_s006,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,280,6,train,-1.98,0.995,0.995,0.012562500000000004
7,d25_t00_r00_s007,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,320,7,train,-1.98,0.995,0.995,0.013250000000000003
8,d25_t00_r00_s008,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,360,8,train,-1.94,0.985,0.985,0.014625000000000003
9,d25_t00_r00_s009,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,400,9,train,-1.94,0.98,0.98,0.011562500000000007
10,d25_t00_r00_s010,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,440,10,train,-1.92,0.98,0.98,0.014250000000000004
11,d25_t00_r00_s011,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,480,11,train,-2.0,1.0,1.0,0.010875000000000006
12,d25_t00_r00_s012,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,520,12,train,-1.93,0.98,0.98,0.012125000000000007
13,d25_t00_r00_s013,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,560,13,train,-1.97,0.99,0.99,0.017000000000000008
14,d25_t00_r00_s014,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,600,14,train,-1.94,0.985,0.985,0.012687500000000004
15,d25_t00_r00_s015,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,640,15,train,-1.94,0.985,0.985,0.012000000000000007
16,d25_t00_r00_s016,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,680,16,train,-1.96,0.99,0.99,0.015312500000000003
17,d25_t00_r00_s017,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,720,17,train,-1.9,0.965,0.965,0.011312500000000005
18,d25_t00_r00_s018,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,760,18,train,-1.94,0.985,0.985,0.015624999999999997
19,d25_t00_r00_s019,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,800,19,train,-1.9,0.97,0.97,0.013562500000000009
20,d25_t00_r00_s020,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,840,20,train,-1.96,0.985,0.985,0.011812500000000007
21,d25_t00_r00_s021,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,880,21,train,-1.9,0.97,0.97,0.014437500000000006
22,d25_t00_r00_s022,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,920,22,train,-1.91,0.975,0.975,0.0141875
23,d25_t00_r00_s023,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,960,23,train,-1.94,0.985,0.985,0.017499999999999998
24,d25_t00_r00_s024,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1000,24,train,-1.98,0.995,0.995,0.013875000000000002
25,d25_t00_r00_s025,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1040,25,train,-1.91,0.975,0.975,0.010500000000000006
26,d25_t00_r00_s026,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1080,26,train,-1.93,0.98,0.98,0.012812500000000008
27,d25_t00_r00_s027,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1120,27,train,-1.93,0.98,0.98,0.014625000000000003
28,d25_t00_r00_s028,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1160,28,train,-1.98,0.995,0.995,0.014062500000000002
29,d25_t00_r00_s029,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1200,29,train,-1.92,0.97,0.97,0.011062500000000005
30,d25_t00_r00_s030,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1240,30,train,-1.94,0.985,0.985,0.012812500000000004
31,d25_t00_r00_s031,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1280,31,train,-1.92,0.98,0.98,0.0175625
32,d25_t00_r00_s032,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1320,32,train,-1.95,0.985,0.985,0.011687500000000005
33,d25_t00_r00_s033,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1360,33,train,-1.98,0.995,0.995,0.013875000000000004
34,d25_t00_r00_s034,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1400,34,train,-1.98,0.995,0.995,0.012000000000000007
35,d25_t00_r00_s035,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1440,35,train,-1.97,0.99,0.99,0.011187500000000006
36,d25_t00_r00_s036,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1480,36,train,-1.93,0.98,0.98,0.017500000000000005
37,d25_t00_r00_s037,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1520,37,train,-1.98,0.995,0.995,0.013062500000000005
38,d25_t00_r00_s038,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1560,38,train,-2.0,1.0,1.0,0.012312500000000007
39,d25_t00_r00_s039,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1600,39,train,-1.96,0.99,0.99,0.013125000000000006
40,d25_t00_r00_s040,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1640,40,train,-1.93,0.98,0.98,0.011500000000000007
41,d25_t00_r00_s041,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1680,41,train,-1.92,0.975,0.975,0.010437500000000006
42,d25_t00_r00_s042,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1720,42,train,-1.96,0.99,0.99,0.012187500000000007
43,d25_t00_r00_s043,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1760,43,train,-1.98,0.995,0.995,0.013687500000000002
44,d25_t00_r00_s044,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1800,44,train,-2.0,1.0,1.0,0.011437500000000007
45,d25_t00_r00_s045,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1840,45,train,-1.98,0.995,0.995,0.014187499999999997
46,d25_t00_r00_s046,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1880,46,train,-1.97,0.99,0.99,0.011062500000000003
47,d25_t00_r00_s047,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1920,47,train,-1.94,0.98,0.98,0.013875000000000007
48,d25_t00_r00_s048,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,1960,48,train,-1.91,0.975,0.975,0.014187500000000002
49,d25_t00_r00_s049,1.5,0,0,0,ising2d_t00_r00_seed25000,25000,up,2000,49,train,-1.93,0.98,0.98,0.011437500000000007
50,d25_t00_r01_s000,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,40,0,train,-1.96,-0.99,0.99,0.009250000000000003
51,d25_t00_r01_s001,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,80,1,train,-1.94,-0.985,0.985,0.011187500000000005
52,d25_t00_r01_s002,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,120,2,train,-1.85,-0.96,0.96,0.014812500000000001
53,d25_t00_r01_s003,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,160,3,train,-1.95,-0.985,0.985,0.014687500000000006
54,d25_t00_r01_s004,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,200,4,train,-1.92,-0.975,0.975,0.010500000000000006
55,d25_t00_r01_s005,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,240,5,train,-1.96,-0.99,0.99,0.012937500000000005
56,d25_t00_r01_s006,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,280,6,train,-1.94,-0.985,0.985,0.013312500000000005
57,d25_t00_r01_s007,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,320,7,train,-1.95,-0.985,0.985,0.017625000000000002
58,d25_t00_r01_s008,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,360,8,train,-1.98,-0.995,0.995,0.009625000000000005
59,d25_t00_r01_s009,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,400,9,train,-1.96,-0.99,0.99,0.0139375
60,d25_t00_r01_s010,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,440,10,train,-1.98,-0.995,0.995,0.009812500000000005
61,d25_t00_r01_s011,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,480,11,train,-1.98,-0.995,0.995,0.012000000000000007
62,d25_t00_r01_s012,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,520,12,train,-1.96,-0.99,0.99,0.014812500000000001
63,d25_t00_r01_s013,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,560,13,train,-1.93,-0.98,0.98,0.011375000000000005
64,d25_t00_r01_s014,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,600,14,train,-1.93,-0.98,0.98,0.015000000000000005
65,d25_t00_r01_s015,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,640,15,train,-1.94,-0.985,0.985,0.014937500000000003
66,d25_t00_r01_s016,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,680,16,train,-1.96,-0.99,0.99,0.009812500000000005
67,d25_t00_r01_s017,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,720,17,train,-2.0,-1.0,1.0,0.013375000000000003
68,d25_t00_r01_s018,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,760,18,train,-1.92,-0.98,0.98,0.012625000000000006
69,d25_t00_r01_s019,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,800,19,train,-1.9,-0.975,0.975,0.013812500000000002
70,d25_t00_r01_s020,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,840,20,train,-1.94,-0.985,0.985,0.013875000000000004
71,d25_t00_r01_s021,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,880,21,train,-1.9,-0.975,0.975,0.010625000000000006
72,d25_t00_r01_s022,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,920,22,train,-1.92,-0.98,0.98,0.017687500000000002
73,d25_t00_r01_s023,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,960,23,train,-1.91,-0.965,0.965,0.015187500000000007
74,d25_t00_r01_s024,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1000,24,train,-2.0,-1.0,1.0,0.013187500000000005
75,d25_t00_r01_s025,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1040,25,train,-1.91,-0.975,0.975,0.012437500000000006
76,d25_t00_r01_s026,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1080,26,train,-1.91,-0.975,0.975,0.015250000000000003
77,d25_t00_r01_s027,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1120,27,train,-2.0,-1.0,1.0,0.011312500000000007
78,d25_t00_r01_s028,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1160,28,train,-2.0,-1.0,1.0,0.015375000000000003
79,d25_t00_r01_s029,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1200,29,train,-1.96,-0.99,0.99,0.013000000000000003
80,d25_t00_r01_s030,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1240,30,train,-1.96,-0.99,0.99,0.012375000000000006
81,d25_t00_r01_s031,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1280,31,train,-1.92,-0.98,0.98,0.011875000000000007
82,d25_t00_r01_s032,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1320,32,train,-1.96,-0.99,0.99,0.016624999999999997
83,d25_t00_r01_s033,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1360,33,train,-2.0,-1.0,1.0,0.012250000000000007
84,d25_t00_r01_s034,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1400,34,train,-1.98,-0.995,0.995,0.013312500000000008
85,d25_t00_r01_s035,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1440,35,train,-1.94,-0.985,0.985,0.013000000000000003
86,d25_t00_r01_s036,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1480,36,train,-2.0,-1.0,1.0,0.0144375
87,d25_t00_r01_s037,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1520,37,train,-1.96,-0.99,0.99,0.014500000000000002
88,d25_t00_r01_s038,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1560,38,train,-1.94,-0.985,0.985,0.014687499999999997
89,d25_t00_r01_s039,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1600,39,train,-1.96,-0.99,0.99,0.0140625
90,d25_t00_r01_s040,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1640,40,train,-1.91,-0.975,0.975,0.015437500000000003
91,d25_t00_r01_s041,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1680,41,train,-1.94,-0.985,0.985,0.009250000000000005
