temperature_index,temperature,split_name,initial_state,configuration_count,chain_count,mean_energy_per_spin,mean_signed_magnetisation,mean_absolute_magnetisation,mean_acceptance_fraction
0,1.5,test,down,50,1,-1.9464,-0.9847,0.9847,0.013110000000000005
0,1.5,test,up,50,1,-1.9501999999999997,0.9853999999999999,0.9853999999999999,0.013908750000000003
0,1.5,train,down,50,1,-1.9472,-0.9858,0.9858,0.013335000000000003
0,1.5,train,up,50,1,-1.9456,0.9845999999999999,0.9845999999999999,0.013345000000000004
0,1.5,validation,down,50,1,-1.9524000000000001,-0.9873000000000001,0.9873000000000001,0.013366250000000003
0,1.5,validation,up,50,1,-1.9456,0.9849,0.9849,0.013781250000000002
1,1.7,test,down,50,1,-1.9082,-0.9734999999999999,0.9734999999999999,0.0296
1,1.7,test,up,50,1,-1.905,0.972,0.972,0.029158749999999997
1,1.7,train,down,50,1,-1.9056,-0.9725999999999999,0.9725999999999999,0.02881875
1,1.7,train,up,50,1,-1.901,0.9712999999999999,0.9712999999999999,0.028984999999999997
1,1.7,validation,down,50,1,-1.8912,-0.9677,0.9677,0.02971625
1,1.7,validation,up,50,1,-1.8858000000000001,0.9661,0.9661,0.029156249999999998
2,1.9,test,down,50,1,-1.8192000000000002,-0.9439,0.9439,0.056906250000000005
2,1.9,test,up,50,1,-1.8202,0.9429,0.9429,0.05736625
2,1.9,train,down,50,1,-1.7975999999999999,-0.9353,0.9353,0.05620875000000001
2,1.9,train,up,50,1,-1.7984,0.9286,0.9286,0.05723750000000001
2,1.9,validation,down,50,1,-1.7836,-0.9256,0.9256,0.059335000000000006
2,1.9,validation,up,50,1,-1.8004,0.9376000000000001,0.9376000000000001,0.058598750000000005
3,2.05,test,down,50,1,-1.696,-0.8884000000000001,0.8884000000000001,0.09325875
3,2.05,test,up,50,1,-1.694,0.8862000000000001,0.8862000000000001,0.0916575
3,2.05,train,down,50,1,-1.7094,-0.8907,0.8907,0.09257625000000001
3,2.05,train,up,50,1,-1.6494,0.13140000000000002,0.762,0.11281625
3,2.05,validation,down,50,1,-1.7013999999999998,-0.8869,0.8869,0.09130750000000001
3,2.05,validation,up,50,1,-1.6944,0.8844,0.8844,0.0908475
4,2.1,test,down,50,1,-1.6472,-0.8672,0.8672,0.111185
4,2.1,test,up,50,1,-1.666,0.8732,0.8732,0.10835875000000002
4,2.1,train,down,50,1,-1.663,-0.872,0.872,0.1047025
4,2.1,train,up,50,1,-1.6436000000000002,0.8606,0.8606,0.11172375000000001
4,2.1,validation,down,50,1,-1.6616,-0.8602,0.8602,0.10922875000000001
4,2.1,validation,up,50,1,-1.6421999999999999,0.8593000000000001,0.8593000000000001,0.1130175
5,2.15,test,down,50,1,-1.6016,-0.8456,0.8456,0.12373250000000001
5,2.15,test,up,50,1,-1.6278,0.8532,0.8532,0.12480625
5,2.15,train,down,50,1,-1.5862,-0.8036,0.8036,0.1348375
5,2.15,train,up,50,1,-1.6266,0.85,0.85,0.12335750000000001
5,2.15,validation,down,50,1,-1.5936000000000001,-0.8295,0.8295,0.13065
5,2.15,validation,up,50,1,-1.629,0.8553000000000001,0.8553000000000001,0.12075
6,2.2,test,down,50,1,-1.5812,-0.8201999999999999,0.8201999999999999,0.1457275
6,2.2,test,up,50,1,-1.5458,0.7787000000000001,0.7787000000000001,0.15637125000000002
6,2.2,train,down,50,1,-1.5444,-0.8053,0.8053,0.1476975
6,2.2,train,up,50,1,-1.5754,0.8176000000000001,0.8176000000000001,0.14139125
6,2.2,validation,down,50,1,-1.5182,-0.7522,0.7522,0.15651
6,2.2,validation,up,50,1,-1.5274,0.7704000000000001,0.7704000000000001,0.153825
7,2.23,test,down,50,1,-1.5146000000000002,-0.7817000000000001,0.7817000000000001,0.1599125
7,2.23,test,up,50,1,-1.508,-0.24359999999999998,0.7648,0.16445
7,2.23,train,down,50,1,-1.52,-0.7773,0.7773,0.1565025
7,2.23,train,up,50,1,-1.5246000000000002,0.7947,0.7947,0.15667375
7,2.23,validation,down,50,1,-1.5138,0.22510000000000002,0.7683,0.16106375
7,2.23,validation,up,50,1,-1.495,-0.5779,0.7359,0.1634325
8,2.25,test,down,50,1,-1.4674,-0.7127,0.7127,0.1749425
8,2.25,test,up,50,1,-1.538,0.7901,0.7901,0.16467749999999998
8,2.25,train,down,50,1,-1.4222,-0.6472,0.6472,0.19226125
8,2.25,train,up,50,1,-1.4626,0.7264,0.7264,0.17944000000000002
8,2.25,validation,down,50,1,-1.4706000000000001,-0.7317,0.7343000000000001,0.17434625
8,2.25,validation,up,50,1,-1.4884,0.7521,0.7521,0.16982624999999998
9,2.269185314213022,test,down,50,1,-1.4164,0.1942,0.6587999999999999,0.195855
9,2.269185314213022,test,up,50,1,-1.4378,0.7106,0.7106,0.18885249999999998
