replicate,temperature,seed,lattice_size,n_spins,coupling,field,boltzmann_constant,initial_state,burn_in_sweeps,production_sweeps,sample_every,n_recorded_samples,mean_total_energy,mean_energy_squared,mean_energy_per_spin,mean_signed_magnetisation,mean_magnetisation_squared,mean_absolute_magnetisation,mean_acceptance_fraction,first_half_mean_energy_per_spin,second_half_mean_energy_per_spin,first_half_mean_absolute_magnetisation,second_half_mean_absolute_magnetisation
0,1.5,23000,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-780.454,609294.872,-1.9511349999999998,0.9866199999999999,0.9735201249999998,0.9866199999999999,0.013263750000000001,-1.9555,-1.94677,0.9879399999999999,0.9853
0,1.7,23001,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-758.866,576261.288,-1.897165,0.9699175,0.9410014874999998,0.9699175,0.02906875,-1.8964,-1.89793,0.96956,0.9702750000000001
0,1.9,23002,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-727.378,529833.272,-1.818445,0.9426825,0.8893622375,0.9426825,0.054935000000000005,-1.82073,-1.81616,0.943415,0.9419500000000001
0,2.05,23003,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-685.422,471199.096,-1.7135550000000002,0.9003150000000001,0.8124897000000001,0.9003150000000001,0.09006874999999999,-1.72244,-1.7046700000000001,0.903545,0.897085
0,2.1,23004,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-665.46,444600.368,-1.66365,0.8652425,0.7551697125000001,0.8652425,0.10817750000000001,-1.67267,-1.6546299999999998,0.87425,0.8562350000000001
0,2.15,23005,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-638.4,409608.144,-1.5959999999999999,0.8318675000000001,0.6974923624999999,0.8318675000000001,0.13138999999999998,-1.5961599999999998,-1.5958400000000001,0.82948,0.834255
0,2.2,23006,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-610.928,376156.48,-1.52732,0.75834,0.598246425,0.75834,0.15645625000000002,-1.53367,-1.52097,0.77074,0.74594
0,2.23,23007,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-587.82,348929.2,-1.4695500000000001,0.6843325,0.5326992625,0.7061675000000001,0.17875125,-1.4592000000000003,-1.4799,0.6998150000000001,0.7125199999999999
0,2.25,23008,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-563.394,321369.128,-1.408485,0.34690750000000004,0.4167503875,0.5977325,0.20226249999999998,-1.40171,-1.4152599999999997,0.577115,0.61835
0,2.269185314213022,23009,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-577.03,336964.216,-1.442575,0.656695,0.49798875,0.6706850000000001,0.18957749999999998,-1.4125500000000002,-1.4726,0.60972,0.7316500000000001
0,2.29,23010,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-547.668,303518.592,-1.36917,-0.3984625,0.3968507875,0.5939125000000002,0.21716,-1.35848,-1.37986,0.5669350000000001,0.62089
0,2.32,23011,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-529.288,283745.296,-1.32322,-0.043327499999999984,0.3205763625,0.5123675000000001,0.233745,-1.32898,-1.31746,0.54977,0.474965
0,2.35,23012,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-542.676,298330.576,-1.3566900000000002,0.19800000000000004,0.42734539999999993,0.61841,0.2227425,-1.3354000000000001,-1.37798,0.58125,0.65557
0,2.4,23013,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-496.306,249373.128,-1.240765,0.20455249999999997,0.2692212875,0.47129750000000004,0.26868125,-1.24561,-1.23592,0.478,0.464595
